0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
inf,1.0,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.9,0.89,0.87,0.85,0.84,0.83,0.82,0.81,0.79,0.78,0.77,0.76,0.75,0.74,0.73,0.72,0.7,0.69,0.68,0.67,0.66,0.65,0.62,0.53,0.38,0.34,0.33,0.27,0.26,0.24,0.22,0.2,0.19,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.0,,,,,,,
inf,1.0,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.9,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.81,0.8,0.79,0.78,0.77,0.75,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.63,0.62,0.6,0.54,0.35,0.34,0.32,0.29,0.28,0.27,0.26,0.22,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.0,
inf,1.0,0.99,0.98,0.97,0.96,0.95,0.94,0.92,0.91,0.9,0.87,0.85,0.84,0.83,0.82,0.81,0.8,0.78,0.77,0.75,0.74,0.73,0.72,0.71,0.7,0.69,0.67,0.65,0.64,0.63,0.62,0.61,0.58,0.38,0.32,0.31,0.29,0.27,0.25,0.24,0.23,0.2,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.0,,,,,,
inf,1.0,0.99,0.98,0.97,0.96,0.95,0.93,0.92,0.91,0.9,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.81,0.8,0.79,0.77,0.76,0.75,0.74,0.73,0.72,0.71,0.7,0.68,0.64,0.62,0.61,0.58,0.37,0.36,0.32,0.3,0.28,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.18,0.17,0.16,0.14,0.13,0.12,0.1,0.09,0.08,0.07,0.04,0.03,0.02,0.01,0.0,,,,,,
inf,1.0,0.99,0.98,0.97,0.96,0.95,0.93,0.92,0.91,0.9,0.89,0.88,0.86,0.85,0.84,0.83,0.82,0.81,0.8,0.78,0.77,0.76,0.75,0.74,0.73,0.71,0.69,0.68,0.67,0.66,0.65,0.62,0.59,0.37,0.31,0.29,0.28,0.27,0.25,0.24,0.23,0.22,0.21,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.0,,,,,,
inf,1.0,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.9,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.8,0.79,0.78,0.76,0.75,0.74,0.73,0.71,0.69,0.68,0.67,0.65,0.62,0.6,0.36,0.35,0.33,0.32,0.31,0.3,0.29,0.28,0.27,0.25,0.24,0.23,0.22,0.2,0.19,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.0
inf,1.0,0.99,0.98,0.97,0.96,0.94,0.92,0.89,0.88,0.87,0.86,0.85,0.84,0.82,0.81,0.79,0.78,0.77,0.76,0.75,0.74,0.73,0.71,0.7,0.67,0.66,0.65,0.64,0.63,0.49,0.38,0.36,0.35,0.34,0.3,0.29,0.28,0.27,0.24,0.23,0.22,0.19,0.18,0.17,0.16,0.14,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.0,,,,,,,
inf,1.0,0.99,0.98,0.97,0.96,0.95,0.94,0.91,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.8,0.79,0.78,0.77,0.76,0.75,0.73,0.72,0.7,0.69,0.68,0.67,0.66,0.64,0.63,0.62,0.57,0.38,0.35,0.34,0.32,0.31,0.26,0.22,0.21,0.2,0.19,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.08,0.06,0.05,0.04,0.03,0.02,0.01,0.0,,,,,
inf,1.0,0.99,0.98,0.97,0.96,0.95,0.93,0.92,0.91,0.89,0.87,0.86,0.83,0.82,0.81,0.8,0.79,0.78,0.77,0.73,0.72,0.71,0.69,0.65,0.64,0.63,0.62,0.61,0.58,0.38,0.37,0.33,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.13,0.12,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.0,,,,,,
inf,1.0,0.99,0.98,0.97,0.95,0.94,0.93,0.92,0.91,0.9,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.8,0.78,0.77,0.76,0.74,0.73,0.72,0.7,0.69,0.68,0.66,0.65,0.64,0.63,0.61,0.5,0.38,0.36,0.35,0.34,0.32,0.31,0.28,0.27,0.26,0.25,0.24,0.23,0.2,0.19,0.18,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.0
