Feature,Importance,Model,Run
Area,-1.143463038140908,SVC,run_10
MajorAxisLength,-39.39725763478219,SVC,run_10
MinorAxisLength,-163.72077106822178,SVC,run_10
Eccentricity,0.1530595836106352,SVC,run_10
ConvexArea,1.4896232122555375,SVC,run_10
Extent,-0.1399312982416675,SVC,run_10
Perimeter,30.12660930715492,SVC,run_10
Area,-0.0005160927592527,LogisticRegression,run_10
MajorAxisLength,0.0167207972531566,LogisticRegression,run_10
MinorAxisLength,-0.0304673054719806,LogisticRegression,run_10
Eccentricity,1.772167125459515e-05,LogisticRegression,run_10
ConvexArea,0.0006499393007074,LogisticRegression,run_10
Extent,-7.736150584173775e-05,LogisticRegression,run_10
Perimeter,-0.0105854762593765,LogisticRegression,run_10
Area,0.1525013733146447,RandomForestClassifier,run_10
MajorAxisLength,0.2593662709763724,RandomForestClassifier,run_10
MinorAxisLength,0.082781521033693,RandomForestClassifier,run_10
Eccentricity,0.0798922914005958,RandomForestClassifier,run_10
ConvexArea,0.142738391690609,RandomForestClassifier,run_10
Extent,0.0588368400114156,RandomForestClassifier,run_10
Perimeter,0.2238833115726694,RandomForestClassifier,run_10
Area,-0.351943401619792,SVC,run_17
MajorAxisLength,-34.49903109906876,SVC,run_17
MinorAxisLength,-158.39463872774166,SVC,run_17
Eccentricity,0.4815731657681638,SVC,run_17
ConvexArea,0.665501887910068,SVC,run_17
Extent,0.4263281604786582,SVC,run_17
Perimeter,32.79527726810875,SVC,run_17
Area,0.0002296682453131,LogisticRegression,run_17
MajorAxisLength,-0.0575271005695641,LogisticRegression,run_17
MinorAxisLength,-0.1028942588108524,LogisticRegression,run_17
Eccentricity,-0.0004164074693269,LogisticRegression,run_17
ConvexArea,-5.9190264739855e-05,LogisticRegression,run_17
Extent,-0.0005988821865489,LogisticRegression,run_17
Perimeter,0.0318691607009121,LogisticRegression,run_17
Area,0.1501253191501573,RandomForestClassifier,run_17
MajorAxisLength,0.2314927930748993,RandomForestClassifier,run_17
MinorAxisLength,0.0722187994620163,RandomForestClassifier,run_17
Eccentricity,0.0949161236096402,RandomForestClassifier,run_17
ConvexArea,0.1453484012964935,RandomForestClassifier,run_17
Extent,0.0580864018595044,RandomForestClassifier,run_17
Perimeter,0.2478121615472886,RandomForestClassifier,run_17
Area,0.3474604191724211,SVC,run_8
MajorAxisLength,-36.080278473417366,SVC,run_8
MinorAxisLength,-126.80832287899013,SVC,run_8
Eccentricity,0.3548259833394591,SVC,run_8
ConvexArea,-0.1074954079231247,SVC,run_8
Extent,-0.3620356063766595,SVC,run_8
Perimeter,44.6829418916584,SVC,run_8
Area,0.0006295686776421,LogisticRegression,run_8
MajorAxisLength,-0.0673931197544057,LogisticRegression,run_8
MinorAxisLength,-0.11078415417961,LogisticRegression,run_8
Eccentricity,-0.0003847582607105,LogisticRegression,run_8
ConvexArea,-0.0004639047305082,LogisticRegression,run_8
Extent,-0.0007406480286015,LogisticRegression,run_8
Perimeter,0.0386877909084511,LogisticRegression,run_8
Area,0.1038888258705112,RandomForestClassifier,run_8
MajorAxisLength,0.2117043349432828,RandomForestClassifier,run_8
MinorAxisLength,0.0872250405102739,RandomForestClassifier,run_8
Eccentricity,0.0967185385903367,RandomForestClassifier,run_8
ConvexArea,0.1688280072853762,RandomForestClassifier,run_8
Extent,0.0712680214487572,RandomForestClassifier,run_8
Perimeter,0.2603672313514619,RandomForestClassifier,run_8
Area,-2.531915581319481,SVC,run_7
MajorAxisLength,-22.39910936731457,SVC,run_7
MinorAxisLength,-142.7210315293898,SVC,run_7
Eccentricity,-0.0531273647381634,SVC,run_7
ConvexArea,2.9639728106558323,SVC,run_7
Extent,-0.2338935634570428,SVC,run_7
Perimeter,-2.2449424497622203,SVC,run_7
Area,-0.0006321645418216,LogisticRegression,run_7
MajorAxisLength,-0.019400769732397,LogisticRegression,run_7
MinorAxisLength,-0.0612412915103299,LogisticRegression,run_7
Eccentricity,-0.0003201570492267,LogisticRegression,run_7
ConvexArea,0.0007896015074889,LogisticRegression,run_7
Extent,-0.0003359833142821,LogisticRegression,run_7
Perimeter,0.0074798255123293,LogisticRegression,run_7
Area,0.15277056130811,RandomForestClassifier,run_7
MajorAxisLength,0.2167211221970053,RandomForestClassifier,run_7
MinorAxisLength,0.0768630174572106,RandomForestClassifier,run_7
Eccentricity,0.095431761544581,RandomForestClassifier,run_7
ConvexArea,0.1700544395842152,RandomForestClassifier,run_7
Extent,0.0640574446814961,RandomForestClassifier,run_7
Perimeter,0.2241016532273815,RandomForestClassifier,run_7
Area,-1.3371696446556598,SVC,run_20
MajorAxisLength,-31.11204051074384,SVC,run_20
MinorAxisLength,-129.36954308403307,SVC,run_20
Eccentricity,0.2865935446841396,SVC,run_20
ConvexArea,1.746080219425494,SVC,run_20
Extent,-0.0399745748578035,SVC,run_20
Perimeter,14.371936740606088,SVC,run_20
Area,0.0002020814043555,LogisticRegression,run_20
MajorAxisLength,-0.0507565145929697,LogisticRegression,run_20
MinorAxisLength,-0.0954417666181459,LogisticRegression,run_20
Eccentricity,-0.0003284308761007,LogisticRegression,run_20
ConvexArea,-3.575405572325173e-05,LogisticRegression,run_20
Extent,-0.0004613885343347,LogisticRegression,run_20
Perimeter,0.028010417281045,LogisticRegression,run_20
Area,0.1531622597572543,RandomForestClassifier,run_20
MajorAxisLength,0.2207601603048126,RandomForestClassifier,run_20
MinorAxisLength,0.0713754135469552,RandomForestClassifier,run_20
Eccentricity,0.0875810515847952,RandomForestClassifier,run_20
ConvexArea,0.1660639754437066,RandomForestClassifier,run_20
Extent,0.0606701195130624,RandomForestClassifier,run_20
Perimeter,0.2403870198494133,RandomForestClassifier,run_20
Area,0.8886868704576045,SVC,run_11
MajorAxisLength,-50.12569551752085,SVC,run_11
MinorAxisLength,-140.1528042971006,SVC,run_11
Eccentricity,0.2282871129276844,SVC,run_11
ConvexArea,-0.8259472544305027,SVC,run_11
Extent,-0.4913039790325723,SVC,run_11
Perimeter,82.4245525732847,SVC,run_11
Area,0.0005823264524042,LogisticRegression,run_11
MajorAxisLength,-0.0725824040849114,LogisticRegression,run_11
MinorAxisLength,-0.1150496891008152,LogisticRegression,run_11
Eccentricity,-0.0005047843051384,LogisticRegression,run_11
ConvexArea,-0.0004129862163307,LogisticRegression,run_11
Extent,-0.0007828120404434,LogisticRegression,run_11
Perimeter,0.0410779166903296,LogisticRegression,run_11
Area,0.0967892506575381,RandomForestClassifier,run_11
MajorAxisLength,0.2453883893496002,RandomForestClassifier,run_11
MinorAxisLength,0.0619157579669511,RandomForestClassifier,run_11
Eccentricity,0.0811058547209149,RandomForestClassifier,run_11
ConvexArea,0.1776050288111078,RandomForestClassifier,run_11
Extent,0.0662277498703342,RandomForestClassifier,run_11
Perimeter,0.2709679686235534,RandomForestClassifier,run_11
Area,-1.401875935960561,SVC,run_4
MajorAxisLength,-27.173733691827465,SVC,run_4
MinorAxisLength,-122.73564804361854,SVC,run_4
Eccentricity,-0.0033695275224072,SVC,run_4
ConvexArea,1.7226529433391988,SVC,run_4
Extent,-0.3449864908938708,SVC,run_4
Perimeter,19.99250453389618,SVC,run_4
