accuracy,precision,recall,f1_score,auc,Model,Run,Type
0.995,0.9950495049504952,0.995,0.9949998749968748,0.995,SVC,run_10,overall
1.0,1.0,1.0,1.0,1.0,SVC,run_8,overall
0.995,0.9950495049504952,0.995,0.9949998749968748,0.995,SVC,run_7,overall
1.0,1.0,1.0,1.0,1.0,SVC,run_4,overall
1.0,1.0,1.0,1.0,1.0,SVC,run_1,overall
1.0,1.0,1.0,1.0,1.0,SVC,run_9,overall
1.0,1.0,1.0,1.0,1.0,SVC,run_5,overall
1.0,1.0,1.0,1.0,1.0,SVC,run_6,overall
0.99,0.9901960784313724,0.99,0.98999899989999,0.99,SVC,run_3,overall
0.995,0.9950495049504952,0.995,0.9949998749968748,0.995,SVC,run_2,overall
